v8-version,4,9,385,28,0
code-creation,Builtin,4,0x2c1cee0,80,"ReflectDefineProperty"
code-creation,Builtin,4,0x2c1cf40,80,"ReflectDeleteProperty"
code-creation,Builtin,4,0x2c1cfa0,80,"ReflectGet"
code-creation,Builtin,4,0x2c1d000,80,"ReflectGetOwnPropertyDescriptor"
code-creation,Builtin,4,0x2c1d060,80,"ReflectGetPrototypeOf"
code-creation,Builtin,4,0x2c1d0c0,80,"ReflectHas"
code-creation,Builtin,4,0x2c1d120,80,"ReflectIsExtensible"
code-creation,Builtin,4,0x2c1d180,80,"ReflectOwnKeys"
code-creation,Builtin,4,0x2c1d1e0,80,"ReflectPreventExtensions"
code-creation,Builtin,4,0x2c1d240,80,"ReflectSet"
code-creation,Builtin,4,0x2c1d2a0,80,"ReflectSetPrototypeOf"
code-creation,Builtin,4,0x2c1d300,80,"SymbolConstructor"
code-creation,Builtin,4,0x2c1d360,83,"SymbolConstructor_ConstructStub"
code-creation,Builtin,4,0x2c1d3c0,83,"HandleApiCall"
code-creation,Builtin,4,0x2c1d420,83,"HandleApiCallConstruct"
code-creation,Builtin,4,0x2c1d480,80,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x2c1d4e0,80,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x2c1d540,80,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x2c1d5a0,80,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x2c1d600,283,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x2c1d720,92,"ConstructedNonConstructable"
code-creation,Builtin,4,0x2c1d780,209,"CallFunction_ReceiverIsNullOrUndefined"
code-creation,Stub,2,0x2c1d860,285,"ToObjectStub"
code-creation,Builtin,4,0x2c1d980,257,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,4,0x2c1daa0,284,"CallFunction_ReceiverIsAny"
code-creation,Builtin,4,0x2c1dbc0,197,"CallBoundFunction"
code-creation,Builtin,4,0x2c1dca0,174,"Call_ReceiverIsNullOrUndefined"
code-creation,Builtin,4,0x2c1dd60,174,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,4,0x2c1de20,174,"Call_ReceiverIsAny"
code-creation,Builtin,4,0x2c1dee0,80,"ConstructFunction"
code-creation,Builtin,4,0x2c1df40,197,"ConstructBoundFunction"
code-creation,Builtin,4,0x2c1e020,81,"ConstructProxy"
code-creation,Builtin,4,0x2c1e080,131,"Construct"
code-creation,Builtin,4,0x2c1e120,275,"Apply"
code-creation,Builtin,4,0x2c1e240,232,"HandleFastApiCall"
code-creation,Builtin,4,0x2c1e340,120,"InOptimizationQueue"
code-creation,Builtin,4,0x2c1e3c0,478,"JSConstructStubGeneric"
code-creation,Builtin,4,0x2c1e5a0,190,"JSBuiltinsConstructStub"
code-creation,Builtin,4,0x2c1e660,317,"JSConstructStubApi"
code-creation,Builtin,4,0x2c1e7a0,165,"JSEntryTrampoline"
code-creation,Builtin,4,0x2c1e860,165,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x2c1e920,101,"CompileLazy"
code-creation,Builtin,4,0x2c1e9a0,101,"CompileOptimized"
code-creation,Builtin,4,0x2c1ea20,101,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x2c1eaa0,140,"NotifyDeoptimized"
code-creation,Builtin,4,0x2c1eb40,140,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x2c1ebe0,140,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x2c1ec80,94,"NotifyStubFailure"
code-creation,Builtin,4,0x2c1ece0,94,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,4,0x2c1ed40,193,"InterpreterEntryTrampoline"
code-creation,Builtin,4,0x2c1ee20,73,"InterpreterExitTrampoline"
code-creation,Builtin,4,0x2c1ee80,97,"InterpreterPushArgsAndCall"
